uID,variable1,variable2,factor
2321,0.3,2,DiffKiss
2323,0.6,1,DiffKiss
2331,0.6,1,DiffKiss
2335,0.4,2,DiffKiss
2339,0.6,2,DiffKiss
2340,0.1,2,DiffKiss
2347,0.7,2,DiffKiss
2351,0.6,2,DiffKiss
2353,0.1,2,DiffKiss
2362,0.3,2,DiffKiss
2366,0.3,1,DiffKiss
2367,0.7,2,DiffKiss
2368,0.5,2,DiffKiss
2376,0.6,2,DiffKiss
2380,0.7,2,DiffKiss
2383,0.1,2,DiffKiss
2384,0,2,DiffKiss
2387,0.3,2,DiffKiss
2388,0.3,1,DiffKiss
2391,0.4,2,DiffKiss
2392,0.4,1,DiffKiss
2396,0.1,2,DiffKiss
2398,1,1,DiffKiss
2402,0.1,1,DiffKiss
2410,0.6,2,DiffKiss
2412,0,2,DiffKiss
7048,0.1,2,SameKiss
7049,0,2,SameKiss
7050,0,2,SameKiss
7054,0.1,2,SameKiss
7059,0.3,2,SameKiss
7061,0.3,2,SameKiss
7063,0.2,2,SameKiss
7068,0.5,2,SameKiss
7069,0.1,2,SameKiss
7070,0.2,2,SameKiss
7073,0.7,2,SameKiss
7075,0.8,2,SameKiss
7076,0.5,2,SameKiss
7077,0.4,2,SameKiss
7080,0.7,1,SameKiss
7081,0,2,SameKiss
7082,0.4,2,SameKiss
7083,0.5,1,SameKiss
7084,0.4,2,SameKiss
7085,0.8,2,SameKiss
7088,0.4,1,SameKiss
7089,0.3,2,SameKiss
7090,0,2,SameKiss
7091,0.3,2,SameKiss
7092,0.5,2,SameKiss
7095,0.2,2,SameKiss
7098,0.3,2,SameKiss
7099,0.6,2,SameKiss
7100,0.4,2,SameKiss
7105,0.6,2,SameKiss
7106,0.5,2,SameKiss
7108,0.8,2,SameKiss
7110,0.4,2,SameKiss
7113,0.1,2,SameKiss
